Doc_GUID,Doc_title,Doc_titleCommon
DO-13471938,FEDERAL DEPOSIT INSURANCE CORPORATION Revised Policy Statement on Securities Lending,FEDERAL DEPOSIT INSURANCE CORPORATION Revised Policy Statement on Securities Lending
DO-13489261,Special Economic Measures (Burma) Regulations,Special Economic Measures (Burma) Regulations
DO-13490615,Guidelines on sound remuneration schemes and the disclosure obligations in respect of remuneration,Guidelines on sound remuneration schemes and the disclosure obligations in respect of remuneration
DO-13491109,"Re: staff positions – relief for certain swap dealers, de minimis dealers, agent affiliates, and associated persons from registration as an introducing broker under section 4d or a commodity trading advisor under section 4m of the commodity exchange act,","Re: staff positions – relief for certain swap dealers, de minimis dealers, agent affiliates, and associated persons from registration as an introducing broker under section 4d or a commodity trading advisor under section 4m of the commodity exchange act,"
DO-13504489,Commission Implementing Regulation (EU) 2016/99 of 16 October 2015 laying down implementing technical standards with regard to determining the operational functioning of the colleges of supervisors according to Directive 2013/36/EU of the European Parliament and of the Council (Text with EEA relevance),Commission Implementing Regulation (EU) 2016/99 of 16 October 2015 laying down implementing technical standards with regard to determining the operational functioning of the colleges of supervisors according to Directive 2013/36/EU of the European Parliament and of the Council (Text with EEA relevance)
DO-13507409,SEBI Circular on Recording of Non Disposal Undertaking (NDU) in the Depository System,SEBI Circular on Recording of Non Disposal Undertaking (NDU) in the Depository System
DO-13510671,Determination of when transaction is an extension of credit under regulation o,Determination of when transaction is an extension of credit under regulation o
DO-13519953,Executive order of the mobilization and management of the Funds,Executive order of the mobilization and management of the Funds
DO-13523970,Settlement  of  Running  Account  of  Client’s  Funds  lying  with  Trading Member (TM),Settlement  of  Running  Account  of  Client’s  Funds  lying  with  Trading Member (TM)
DO-13526682,"The Data Protection, Privacy and Electronic Communications (Amendments etc) (EU Exit) Regulations 2020","The Data Protection, Privacy and Electronic Communications (Amendments etc) (EU Exit) Regulations 2020"
DO-13538493,Commission Delegated Regulation (EU) 2017/2188 of 11 August 2017 amending Regulation (EU) No 575/2013 of the European Parliament and of the Council as regards the waiver on own funds requirements for certain covered bonds (Text with EEA relevance),Commission Delegated Regulation (EU) 2017/2188 of 11 August 2017 amending Regulation (EU) No 575/2013 of the European Parliament and of the Council as regards the waiver on own funds requirements for certain covered bonds (Text with EEA relevance)
DO-13538807,Prescribed foreign banks regulations sor/2000-53,Prescribed foreign banks regulations sor/2000-53
DO-13541502,Submission of information to Credit Information Companies,Submission of information to Credit Information Companies
DO-13541729,Information in the prospectus of investment assets,Information in the prospectus of investment assets
DO-13548421,Securities and Futures (Offers of Investments) (Exemption for Offers of Post-seasoning Debentures) Regulations 2016,Securities and Futures (Offers of Investments) (Exemption for Offers of Post-seasoning Debentures) Regulations 2016
DO-13548461,"Section 24 of the Banking Regulation Act, 1949- Maintenance of Statutory Liquidity Ratio (SLR)","Section 24 of the Banking Regulation Act, 1949- Maintenance of Statutory Liquidity Ratio (SLR)"
DO-13551165,Lloyd’s Minimum Standards MS1 – Business Planning and Portfolio Management,Lloyd’s Minimum Standards MS1 – Business Planning and Portfolio Management
DO-13555900,"REVISION TO OPERATIONAL CIRCULAR FOR ISSUE AND LISTING OF NON-CONVERTIBLE SECURITIES, SECURITISED DEBT INSTRUMENTS, SECURITY RECEIPTS, MUNICIPAL DEBT SECURITIES AND COMMERCIAL PAPER","REVISION TO OPERATIONAL CIRCULAR FOR ISSUE AND LISTING OF NON-CONVERTIBLE SECURITIES, SECURITISED DEBT INSTRUMENTS, SECURITY RECEIPTS, MUNICIPAL DEBT SECURITIES AND COMMERCIAL PAPER"
DO-13559201,Situations in which an appraisal is required under 12 c.f.r. § 323,Situations in which an appraisal is required under 12 c.f.r. § 323
DO-13561690,Introduction of the three month saron index futures contract,Introduction of the three month saron index futures contract
DO-13565103,"Commission Delegated Regulation (EU) 2018/1641 of 13 July 2018 supplementing Regulation (EU) 2016/1011 of the European Parliament and of the Council with regard to regulatory technical standards specifying further the information to be provided by administrators of critical or significant benchmarks on the methodology used to determine the benchmark, the internal review and approval of the methodology and on the procedures for making material changes in the methodology (Text with EEA relevance)","Commission Delegated Regulation (EU) 2018/1641 of 13 July 2018 supplementing Regulation (EU) 2016/1011 of the European Parliament and of the Council with regard to regulatory technical standards specifying further the information to be provided by administrators of critical or significant benchmarks on the methodology used to determine the benchmark, the internal review and approval of the methodo"
DO-13581319,Advisory Opinion to McVay (07-05-94),Advisory Opinion to McVay (07-05-94)
DO-13582314,Securities and Futures (Prescribed Futures Contracts) (Amendment) Regulations 2015,Securities and Futures (Prescribed Futures Contracts) (Amendment) Regulations 2015
DO-13586093,"Companies (accounts) amendment rules, 2018","Companies (accounts) amendment rules, 2018"
DO-13591017,"Basel III Framework on Liquidity Standards - Liquidity Coverage Ratio (LCR), FALLCR against credit disbursed to NBFCs and HFCs","Basel III Framework on Liquidity Standards - Liquidity Coverage Ratio (LCR), FALLCR against credit disbursed to NBFCs and HFCs"
DO-13593509,"Energy conservation (form and manner and time for furnishing information with regard to energy consumed and action taken on recommendations of accredited energy auditor) rules, 2008","Energy conservation (form and manner and time for furnishing information with regard to energy consumed and action taken on recommendations of accredited energy auditor) rules, 2008"
DO-13601211,Gold,Gold
DO-13603771,"The General Clauses Act, 1897","The General Clauses Act, 1897"
DO-13603811,California PPO re: Concerning a proposal by a PPO composed of multiple hospitals and physician organizations to negotiate contracts with third-party payers,California PPO re: Concerning a proposal by a PPO composed of multiple hospitals and physician organizations to negotiate contracts with third-party payers
DO-13614692,Law of 17 December 2010 - FAQ,Law of 17 December 2010 - FAQ
DO-13615691,"Foreign Exchange Management (Deposit) Regulations, 2000 - Credit to Non Resident (External) Rupee Accounts","Foreign Exchange Management (Deposit) Regulations, 2000 - Credit to Non Resident (External) Rupee Accounts"
DO-13619924,Selling of Investment Products,Selling of Investment Products
DO-13621895,Advisory on COVID-19 Health Insurance and Health Care-Related Fraud,Advisory on COVID-19 Health Insurance and Health Care-Related Fraud
DO-13623915,The Financial Action Task Force (FATF) Public statement on jurisdictions on call for action and increased monitoring - March 2022 Plenary,The Financial Action Task Force (FATF) Public statement on jurisdictions on call for action and increased monitoring - March 2022 Plenary
DO-13624618,"Executive order of solvency and financial condition reports for group 1 insurers, etc.","Executive order of solvency and financial condition reports for group 1 insurers, etc."
DO-13625997,Dear CEO letter: Intermediaries: Inurance costs for multi-occupancy buildings,Dear CEO letter: Intermediaries: Inurance costs for multi-occupancy buildings
DO-13629003,Appendix d- securities law,Appendix d- securities law
DO-13629558,Reporting Form RF 520.0 Responsible Persons under Prudential Standard CPS 520 Fit and Proper,Reporting Form RF 520.0 Responsible Persons under Prudential Standard CPS 520 Fit and Proper
DO-13631044,Executive order of a deposit and investor compensation scheme,Executive order of a deposit and investor compensation scheme
DO-13632200,"The Enhancement and Standardization of Climate-Related Disclosures for Investors (Release Nos. 33-11042, 34-94478, File No. S7-10-22)","The Enhancement and Standardization of Climate-Related Disclosures for Investors (Release Nos. 33-11042, 34-94478, File No. S7-10-22)"
DO-13636055,Circular to licensed corporations Recent inspection findings related to client facilitation,Circular to licensed corporations Recent inspection findings related to client facilitation
DO-13636406,Circular CSSF - CODERES 19/09 - Single Resolution fund - Information request by the Single Résolution Board for the calculation of the 2020 ex-ante contribution according to Artciles 4 ans 14 of the Commission Delegated Regulation (EU) 2015/63,
DO-13638861,Relaxation in adherence to prescribed timelines issued by SEBI due to Covid 19,Relaxation in adherence to prescribed timelines issued by SEBI due to Covid 19
DO-13639062,Comptroller’s Handbook Securities Compliance (SC) Municipal Securities Rulemaking Board Rules,Comptroller’s Handbook Securities Compliance (SC) Municipal Securities Rulemaking Board Rules
DO-13640036,Financial Transaction Reports Act 1988,Financial Transaction Reports Act 1988
DO-13642607,Regulation N 04/18 / CEMAC / UMAC / COBAC relating to payment services in the Economic and Monetary Community of Central Africa,
DO-13649097,Dear Chief Executive: Our supervision strategy for Corporate Finance Firms,
DO-13651794,EUROMTS LIMITED Pillar 3 Disclosures for The Period Ended 31 December 2020,EUROMTS LIMITED Pillar 3 Disclosures for The Period Ended 31 December 2020
DO-13653181,Circular to Licensed Corporations Proposed updates to the Technical Specifications for OTC Derivatives Trade Reporting,Circular to Licensed Corporations Proposed updates to the Technical Specifications for OTC Derivatives Trade Reporting
DO-13658259,In the Matter of BNP Paribas S.A. and BNP Paribas Securities Corp,In the Matter of BNP Paribas S.A. and BNP Paribas Securities Corp
DO-13659776,"""Corporate Governance Requirements for Credit Institutions2015 - Frequently Asked Questions""","""Corporate Governance Requirements for Credit Institutions2015 - Frequently Asked Questions"""
DO-13660658,Term Repo under Liquidity Adjustment Facility,Term Repo under Liquidity Adjustment Facility
DO-13662077,Other consumer protection laws and regulations,Other consumer protection laws and regulations
DO-13667499,"REGULATORY RELIEF Guidance to Help Financial Institutions and Facilitate Recovery in Areas of Missouri Affected by Severe Storms, Tornadoes, and Flooding","REGULATORY RELIEF Guidance to Help Financial Institutions and Facilitate Recovery in Areas of Missouri Affected by Severe Storms, Tornadoes, and Flooding"
DO-13684220,Guidance on the Scope of Permissible Information Sharing Covered by Section 314(b) Safe Harbor of the USA PATRIOT Act - 6/16/2009,Guidance on the Scope of Permissible Information Sharing Covered by Section 314(b) Safe Harbor of the USA PATRIOT Act - 6/16/2009
DO-13689417,Advisory committee on financial legislation and regulation OPINION NO. 2016-44 OPINION NO. 2016-44,Advisory committee on financial legislation and regulation OPINION NO. 2016-44 OPINION NO. 2016-44
DO-13693336,Segregation and Monitoring of Collateral at Client Level,Segregation and Monitoring of Collateral at Client Level
DO-13694771,Marketing of complex financial instruments,Marketing of complex financial instruments
DO-13700447,Securities and Futures (Transfer of Functions—Investor Compensation Company) Order,Securities and Futures (Transfer of Functions—Investor Compensation Company) Order
DO-13704577,Agency Information Collection Activities: Information Collection Renewal; Submission for OMB Review; Extensions of Credit to Insiders and Transactions With Affiliates,Agency Information Collection Activities: Information Collection Renewal; Submission for OMB Review; Extensions of Credit to Insiders and Transactions With Affiliates
DO-13712467,General Requirements for Disclosure  of Sustainability-related Financial Information Prototype,General Requirements for Disclosure  of Sustainability-related Financial Information Prototype
DO-13713871,Financial Institution Letters-Statement on Investments in Fannie Mae and Freddie Mac Equity Securities,Financial Institution Letters-Statement on Investments in Fannie Mae and Freddie Mac Equity Securities
DO-13724291,Principles and guidelines for effective insolvency and creditor rights systems,Principles and guidelines for effective insolvency and creditor rights systems
DO-13730151,Financial Institution Letters-Home Equity Lines of Credit Consumer Protection and Risk Management Considerations When Changing Credit Limits and Suggested Best Practices,Financial Institution Letters-Home Equity Lines of Credit Consumer Protection and Risk Management Considerations When Changing Credit Limits and Suggested Best Practices
DO-13732644,Special Economic Measures (Haiti) Regulations,Special Economic Measures (Haiti) Regulations
DO-13732673,Changes to the Forex Clearing and Settlement process timing,Changes to the Forex Clearing and Settlement process timing
DO-13734874,SECURITIES AND FUTURES ACT  (CAP. 289)  GUIDELINES ON THE REGULATION OF  MARKETS,SECURITIES AND FUTURES ACT  (CAP. 289)  GUIDELINES ON THE REGULATION OF  MARKETS
DO-13735556,UNITED STATES OF AMERICA CONSUMER FINANCIAL PROTECTION BUREAU ADMINISTRATIVE PROCEEDING File No. 2022-CFPB-0008,UNITED STATES OF AMERICA CONSUMER FINANCIAL PROTECTION BUREAU ADMINISTRATIVE PROCEEDING File No. 2022-CFPB-0008
DO-13740096,Community Reinvestment Act - Guidelines for Strategic Plan Submissions,Community Reinvestment Act - Guidelines for Strategic Plan Submissions
DO-13751218,Regulations governing the notification of the signature of gible capital certificates,Regulations governing the notification of the signature of gible capital certificates
DO-13756697,Commission Delegated Regulation (EU) 2016/1052 of 8 March 2016 supplementing Regulation (EU) No 596/2014 of the European Parliament and of the Council with regard to regulatory technical standards for the conditions applicable to buy-back programmes and stabilisation measures (Text with EEA relevance),Commission Delegated Regulation (EU) 2016/1052 of 8 March 2016 supplementing Regulation (EU) No 596/2014 of the European Parliament and of the Council with regard to regulatory technical standards for the conditions applicable to buy-back programmes and stabilisation measures (Text with EEA relevance)
DO-13757990,"Commission Delegated Regulation (EU) No 148/2013 of 19 December 2012 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories with regard to regulatory technical standards on the minimum details of the data to be reported to trade repositories","Commission Delegated Regulation (EU) No 148/2013 of 19 December 2012 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories with regard to regulatory technical standards on the minimum details of the data to be reported to trade repositories"
DO-13765276,Financial Institution Letters - Electronic Loan Data Request Fields,Financial Institution Letters - Electronic Loan Data Request Fields
DO-13768225,Ordinance on the submission of financial and risk-sustainability information under the Banking Act (Financial and Risk-Sustainability Information Ordinance -FinaRiskV),Ordinance on the submission of financial and risk-sustainability information under the Banking Act (Financial and Risk-Sustainability Information Ordinance -FinaRiskV)
DO-13768827,Guidelines on Investment Advisory Services offered by Banks,Guidelines on Investment Advisory Services offered by Banks
DO-13774067,AnaCredit Q&A,AnaCredit Q&A
DO-13777125,The Medicines and Healthcare Products Regulatory Agency Trading Fund (Amendment) Order 2016,The Medicines and Healthcare Products Regulatory Agency Trading Fund (Amendment) Order 2016
DO-13788690,Future performance simulations,Future performance simulations
DO-13790022,GUIDANCE NOTE ON POSITION LIMITS AND LARGE OPEN POSITION REPORTING REQUIREMENTS,GUIDANCE NOTE ON POSITION LIMITS AND LARGE OPEN POSITION REPORTING REQUIREMENTS
DO-13804212,"Code of good practice for institutional investors, asset managers and proxy advisors in relation to their duties in respect of vested assets or services provided (“Investor code of good practice”)","Code of good practice for institutional investors, asset managers and proxy advisors in relation to their duties in respect of vested assets or services provided (“Investor code of good practice”)"
DO-13807262,"Regulation establishing the provisions for implementation of Legislative Decree no. 58 of February 24, 1998, on intermediaries","Regulation establishing the provisions for implementation of Legislative Decree no. 58 of February 24, 1998, on intermediaries"
DO-13812581,STATUTORY INSTRUMENTS. S.I. No. 364 of 2020 EUROPEAN UNION (RESTRICTIVE MEASURES CONCERNING UKRAINE) (NO. 2) REGULATIONS 2020,STATUTORY INSTRUMENTS. S.I. No. 364 of 2020 EUROPEAN UNION (RESTRICTIVE MEASURES CONCERNING UKRAINE) (NO. 2) REGULATIONS 2020
DO-13812681,Grand-Ducal Regulation of 11 August 2001 authorizing the creation and operation of a nominal databank relating to the ultimate recipients of measures by the final beneficiaries under the European Social Fund,Grand-Ducal Regulation of 11 August 2001 authorizing the creation and operation of a nominal databank relating to the ultimate recipients of measures by the final beneficiaries under the European Social Fund
DO-13815403,PRA Rulebook -CRR Firms -Internal Capital Adequacy Assessment,PRA Rulebook - CRR - Internal Capital Adequacy Assessment
DO-13816377,Regulation (2019:1223) containing additional provisions to the EU Regulation on the transparency of securities financing transactions and on reuse,Regulation (2019:1223) containing additional provisions to the EU Regulation on the transparency of securities financing transactions and on reuse
DO-13817327,PSR regulatory fees,PSR regulatory fees
DO-13819998,Guidance: Conduct of Insurance Business and Fair Treatment of Customers,Guidance: Conduct of Insurance Business and Fair Treatment of Customers
DO-13823172,The Undertakings for Collective Investment in Transferable Securities Regulations 2011,The Undertakings for Collective Investment in Transferable Securities Regulations 2011
DO-13826912,NOTICE ON ASSET&LIABILITY EXPOSURES FOR INSURERS,NOTICE ON ASSET&LIABILITY EXPOSURES FOR INSURERS
DO-13838258,Ordinance ⊘ Guarantee Scheme of the Growth Fund for Large Business Loans,Ordinance ⊘ Guarantee Scheme of the Growth Fund for Large Business Loans
DO-13857711,Network Security Vulnerabilities: Network Security Vulnerabilities,Network Security Vulnerabilities: Network Security Vulnerabilities
DO-13862090,"Financial Institution Letters-Identity Theft Red Flags, Address Discrepancies, And Change of Address Regulations Frequently Asked Questions","Financial Institution Letters-Identity Theft Red Flags, Address Discrepancies, And Change of Address Regulations Frequently Asked Questions"
DO-13862675,Master Circular on Prudential Guidelines on Capital Adequacy and Market Discipline–New Capital Adequacy Framework (NCAF),Master Circular on Prudential Guidelines on Capital Adequacy and Market Discipline–New Capital Adequacy Framework (NCAF)
DO-13864919,Circular no. 003-2011 / cb / c on the organization of the internal control system of credit institutions of the amu,Circular no. 003-2011 / cb / c on the organization of the internal control system of credit institutions of the amu
DO-13870036,Financial Institution Letters - NATIONAL CONSUMER RESPONSE CENTER,Financial Institution Letters - NATIONAL CONSUMER RESPONSE CENTER
DO-13874474,"Exim Bank's credit line of US$ 20 million to Korea Development Bank, South Korea","Exim Bank's credit line of US$ 20 million to Korea Development Bank, South Korea"
DO-13876464,CCIL_Securities Settlement Segment : Volatility Margin,CCIL_Securities Settlement Segment : Volatility Margin
DO-13880195,Lender Letter(LL-2020-04) To: All Fannie Mae Single-Family Sellers Impact of COVID-19 on Appraisals,Lender Letter(LL-2020-04) To: All Fannie Mae Single-Family Sellers Impact of COVID-19 on Appraisals
DO-13880813,FATF Guidance - Anti-Money Laundering and Terrorist Financing Measures and Financial Inclusion With a Supplement on Customer Due Diligence,
DO-13880883,Master Circular for Depositories,Master Circular for Depositories
DO-13882460,Financial Sector (Collection of Data) (reporting standard) determination No. 11 of 2018  Reporting Standard ARS 220.5 Movements in Provisions for Impairment,
DO-13882796,ASIC Corporations (Short Selling) Instrument 2018/745,ASIC Corporations (Short Selling) Instrument 2018/745
DO-13888120,ASAI Code of Standards for Advertising and Marketing Communications in Ireland,ASAI Code of Standards for Advertising and Marketing Communications in Ireland
DO-13888345,Places of Business of Credit Card and Charge Card Licensees,Places of Business of Credit Card and Charge Card Licensees
DO-13910060,Funding and Liquidity Risk Management Practices,
DO-13913515,Directive 2013/36/EU of the European Parliament and of the Council of 26 June 2013,"Directive 2013/36/EU of the European Parliament and of the Council of 26 June 2013 on access to the activity of credit institutions and the prudential supervision of credit institutions, amending Directive 2002/87/EC and repealing Directives 2006/48/EC and 2006/49/EC (Text with EEA relevance)Text with EEA relevance"
DO-13918033,Internal Audit of Registrar and Transfer Agents (RTAs)/ Issuers having direct connectivity with NSDL,Internal Audit of Registrar and Transfer Agents (RTAs)/ Issuers having direct connectivity with NSDL
DO-13918345,The Haiti (Sanctions) Regulations 2022,The Haiti (Sanctions) Regulations 2022
DO-13922638,OFAC - Part 589: Ukraine-/Russia-Related Sanctions Regulations,31 CFR Part 589
DO-13924822,COBAC Regulation R-2019-03 on the procedures for the application and recovery of financial penalties by COBAC effective as at September 23rd 2019,
DO-13926421,Circular 12/2021 (BA) - Additional liquidity outflows related to other products and services in accordance with Article 23 of Delegated Regulation (EU) 2015/61,Circular 12/2021 (BA) - Additional liquidity outflows related to other products and services in accordance with Article 23 of Delegated Regulation (EU) 2015/61
DO-13928150,Commission Delegated Regulation (EU) 2018/1637 of 13 July 2018 supplementing Regulation (EU) 2016/1011 of the European Parliament and of the Council with regard to regulatory technical standards for the procedures and characteristics of the oversight function,Commission Delegated Regulation (EU) 2018/1637 of 13 July 2018 supplementing Regulation (EU) 2016/1011 of the European Parliament and of the Council with regard to regulatory technical standards for the procedures and characteristics of the oversight function
DO-13929409,Miscellaneous Rules relating to Common Carriers.pdf,47 CFR Part 64
DO-13934360,Commission Notice on the interpretation and implementation of certain legal provisions of the Disclosures Delegated Act under Article 8 of EU Taxonomy Regulation on the reporting of Taxonomy-eligible and Taxonomy-aligned economic activities and assets (second Commission Notice),Commission Notice on the interpretation and implementation of certain legal provisions of the Disclosures Delegated Act under Article 8 of EU Taxonomy Regulation on the reporting of Taxonomy-eligible and Taxonomy-aligned economic activities and assets (second Commission Notice)
DO-13938745,REGULATED INFORMATION - CONSOB Orientations,REGULATED INFORMATION - CONSOB Orientations
DO-13941095,The Cyber (Sanctions) (EU Exit) Regulations 2020,The Cyber (Sanctions) (EU Exit) Regulations 2020
DO-13948895,"Sub: - Prevention of Money Laundering Act, 2002, Obligations of intermediaries in terms of Rules notified thereunder","Sub: - Prevention of Money Laundering Act, 2002, Obligations of intermediaries in terms of Rules notified thereunder"
DO-13955616,"Closure of single stock options, single stock futures and dividend adjusted stock futures on shares listed on the irish stock exchange","Closure of single stock options, single stock futures and dividend adjusted stock futures on shares listed on the irish stock exchange"
DO-13957968,COMMISSION DELEGATED REGULATION (EU) 2018/1640,COMMISSION DELEGATED REGULATION (EU) 2018/1640
DO-13962677,Ice permian wti storage futures contract - trading information,Ice permian wti storage futures contract - trading information
DO-13963084,"Law of 23 May 2005 approving: a) the Convention drawn up on the basis of Article K.3 of the Treaty on European Union, on the fight against corruption involving officials of the European Communities or officials of the members of the European Union, signed in Brussels on 26 May 1997; b) the second Protocol drawn up on the basis of Article K.3 of the Treaty on European Union, to the Convention on the protection of the European Communities' financial interests, signed in Brussels on 19 June 1997; (c) the Criminal Law Convention on Corruption, signed in Strasbourg on 27 January 1999; (d) the Additional Protocol to the Criminal Law Convention on Corruption, signed in Strasbourg on 15 May 2003; and amending and supplementing certain provisions of the Penal Code.","Law of 23 May 2005 approving: a) the Convention drawn up on the basis of Article K.3 of the Treaty on European Union, on the fight against corruption involving officials of the European Communities or officials of the members of the European Union, signed in Brussels on 26 May 1997; b) the second Protocol drawn up on the basis of Article K.3 of the Treaty on European Union, to the Convention on th"
DO-13971930,Commission Delegated Regulation (EU) No 523/2014 of 12 March 2014 supplementing Regulation (EU) No 575/2013 of the European Parliament and of the Council with regard to regulatory technical standards for determining what constitutes the close correspondence between the value of an institution's covered bonds and the value of the institution's assets (Text with EEA relevance),Commission Delegated Regulation (EU) No 523/2014 of 12 March 2014 supplementing Regulation (EU) No 575/2013 of the European Parliament and of the Council with regard to regulatory technical standards for determining what constitutes the close correspondence between the value of an institution's covered bonds and the value of the institution's assets (Text with EEA relevance)
DO-13973582,[S.I. No. 49/2011] European Communities (Financial Collateral Arrangements) (Amendment) Regulations 2011,European Communities (Financial Collateral Arrangements) (Amendment) Regulations 2011
DO-13988923,Master Circular – Scheme of Penalties for bank branches including Currency Chests for deficiency in rendering customer service to the members of public,Master Circular – Scheme of Penalties for bank branches including Currency Chests for deficiency in rendering customer service to the members of public
DO-13989338,Deposit Type Instruments Regulations,Deposit Type Instruments Regulations
DO-13994352,Securities and futures (approved holding companies) regulations 2005,Securities and futures (approved holding companies) regulations 2005
DO-13995021,"The foreign exchange management (deposit) regulations, 2016.","The foreign exchange management (deposit) regulations, 2016."
DO-14000451,Prudential reporting manual Electronic money and payment institutions,Prudential reporting manual Electronic money and payment institutions
DO-14004424,Regulation of crb no. 86-13 of 14 may 1986 on the remuneration of funds received by credit institutions,Regulation of crb no. 86-13 of 14 may 1986 on the remuneration of funds received by credit institutions
DO-14019854,Risk Based Internal Audit (RBIA) Framework – Strengthening Governance arrangements,Risk Based Internal Audit (RBIA) Framework – Strengthening Governance arrangements
DO-14021746,Finance Act 2001,Finance Act 2001
DO-14032968,Investment Advisers Act of 1940.pdf,15 USC 80b-1 et seq.
DO-14042203,Financial resources rules and financial return (29 Aug 08),Financial resources rules and financial return (29 Aug 08)
DO-14043435,Cash Withdrawal at Point-of-Sale (POS) - Enhanced limit at Tier III to VI Centres,Cash Withdrawal at Point-of-Sale (POS) - Enhanced limit at Tier III to VI Centres
DO-14052972,Disabled validation rules and small EBA COFREP validation packets,Disabled validation rules and small EBA COFREP validation packets
DO-14055692,Non-Fund Based Facility to Non-constituent Borrowers of Bank,Non-Fund Based Facility to Non-constituent Borrowers of Bank
DO-14056108,Insurance coverage of interest on lawyer trust accounts (“ioltas”),Insurance coverage of interest on lawyer trust accounts (“ioltas”)
DO-14057896,Request for Burden Reduction Recommendations; Consumer Protection: Lending-Related Rules; Economic Growth and Regulatory Paperwork Reduction Act of 1996 Review,Request for Burden Reduction Recommendations; Consumer Protection: Lending-Related Rules; Economic Growth and Regulatory Paperwork Reduction Act of 1996 Review
DO-14069296,Circular to Licensed Corporations and Associated Entities - Anti-Money Laundering / Counter-Terrorist Financing United Nations (Anti-Terrorism Measures) Ordinance,Circular to Licensed Corporations and Associated Entities - Anti-Money Laundering / Counter-Terrorist Financing United Nations (Anti-Terrorism Measures) Ordinance
DO-14072169,CDSL-MARGIN OBLIGATIONS TO BE GIVEN BY WAY OF MARGIN PLEDGE / MARGIN RE-PLEDGE IN THE DEPOSITORY SYSTEM_dated 10 August 2020,CDSL-MARGIN OBLIGATIONS TO BE GIVEN BY WAY OF MARGIN PLEDGE / MARGIN RE-PLEDGE IN THE DEPOSITORY SYSTEM_dated 10 August 2020
DO-14072629,Financial inspection provisions on internal capital requirements reporting,Financial inspection provisions on internal capital requirements reporting
DO-14080268,Special knowledge or practical experience useful to banking companies,Special knowledge or practical experience useful to banking companies
DO-14085709,GC 20/2: Branch and ATM closures or conversions,GC 20/2: Branch and ATM closures or conversions
DO-14087995,The Act relating to the provisional grant scheme for undertakings with a large turnover,The Act relating to the provisional grant scheme for undertakings with a large turnover
DO-14090897,European communities (admissions to listing and miscellaneous provisions) regulations 2007,European communities (admissions to listing and miscellaneous provisions) regulations 2007
DO-14093789,"GUIDELINES ON THE APPLICATION OF TOTAL DEBT SERVICING RATIO FOR PROPERTY LOANS UNDER MAS NOTICES 645, 1115, 831 AND 128","GUIDELINES ON THE APPLICATION OF TOTAL DEBT SERVICING RATIO FOR PROPERTY LOANS UNDER MAS NOTICES 645, 1115, 831 AND 128"
DO-14094539,Criteria for exemption from the annual verification obligation pursuant to Section 36(1) of the WpHG,Criteria for exemption from the annual verification obligation pursuant to Section 36(1) of the WpHG
DO-14095396,"LEGISLATIVE DECREE of 3 August 2017, no. 129 Implementation of Directive 2014/65/EU of the European Parliament and of the Council of 15 May 2014 on markets in financial instruments and amending Directive 2002/92/EC and Directive 2011/61/EU, as amended by Directive 2016/10 (1) Regulation (EU) No 344/2016 of the European Parliament and of the Council of 23 June 2016 adapting national legislation to the provisions of Regulation (EU) No 2002/2002 Regulation (EC) No 648/2012, as amended by Regulation (EU) 2016/1033 of the European Parliament and of the Council of 23 June 2016. (17G00142) (OJ Series General No 198, 25.8.2017)","LEGISLATIVE DECREE of 3 August 2017, no. 129 Implementation of Directive 2014/65/EU of the European Parliament and of the Council of 15 May 2014 on markets in financial instruments and amending Directive 2002/92/EC and Directive 2011/61/EU, as amended by Directive 2016/10 (1) Regulation (EU) No 344/2016 of the European Parliament and of the Council of 23 June 2016 adapting national legislation to "
DO-14095959,Information Privacy Act 2014_20210429035157.pdf,
DO-14102569,Compliance guide to small entities: regulation cc: availability of funds and collection of checks,Compliance guide to small entities: regulation cc: availability of funds and collection of checks
DO-14114846,Disclosure of Interest (Banks) Regulations SOR/92-321,Disclosure of Interest (Banks) Regulations SOR/92-321
DO-14125383,Act on book - entry securities,Act on book - entry securities
DO-14129330,Guidelines 06/2020 on the interplay of the Second Payment Services Directive and the GDPR,Guidelines 06/2020 on the interplay of the Second Payment Services Directive and the GDPR
DO-14131817,Time limit for renewal of ARN,Time limit for renewal of ARN
DO-14132998,Financial Crimes Enforcement Network Department of the Treasury,Financial Crimes Enforcement Network Department of the Treasury
DO-14140199,"New heading""Prevention of money laundering and terrorist financing""on the website","New heading""Prevention of money laundering and terrorist financing""on the website"
DO-14142623,Autonomous Sanctions (Export Sanctioned GoodsRussia) Amendment (No.1) Designation 2022,Autonomous Sanctions (Export Sanctioned GoodsRussia) Amendment (No.1) Designation 2022
DO-14144079,Transposition of the IORP II Directive,Transposition of the IORP II Directive
DO-14146487,2023 EUROPEAN SUPERVISORY EXAMINATION PROGRAMME (ESEP) FOR PRUDENTIAL SUPERVISORS,2023 EUROPEAN SUPERVISORY EXAMINATION PROGRAMME (ESEP) FOR PRUDENTIAL SUPERVISORS
DO-14147672,"NSDL -SEBI Order issued under Section 11B of the Securities and Exchange Board of India Act, 1992. 30 July 2020","NSDL -SEBI Order issued under Section 11B of the Securities and Exchange Board of India Act, 1992. 30 July 2020"
DO-14149470,"Law of April 6, 2013 relating to dematerialized securities","Law of April 6, 2013 relating to dematerialized securities"
